DifficultyType,IsSequential,한국어,English
1,FALSE,내가 오늘을 위해 고양이 간식을 챙겨왔다구,I brought cat treats for today!
1,FALSE,네 녀석만 아니었다면… 그 녀석에게 궁디 팡팡을 하고 있었을 텐데!,
1,FALSE,나도 빨리 3층에 가고 싶어…!,
1,FALSE,"위층에서 야옹 소리가 들렸어, 야옹 소리가 들렸다구!",
1,FALSE,우리는 고양이 추적대. 줄여서... 고... 고ㅊ... 아니 그냥 풀네임으로만 부르자고.,We're Dedicated Inspectors of Cat Kind. That's D.I.C... err... let's stick with the full name.
1,FALSE,대홍수 이래 몇 년 만에 들어보는 야옹 소리야..!,
1,FALSE,잘 모르겠지만 뭐… 이 사람을 패면 된다는 거죠?,
1,FALSE,전 익이 납셨군!,Here Jeon Ik comes!
1,FALSE,,
1,FALSE,,
1,FALSE,,
2,FALSE,어쨌든 좋았쓰!,
2,FALSE,이곳은 우리들만의 공구리 유토피아가 될 것이다!,
2,FALSE,,
2,FALSE,,
2,FALSE,,
2,FALSE,,
2,FALSE,,
2,FALSE,,
2,FALSE,,
2,FALSE,,
2,FALSE,,
3,TRUE,고양이라며! 저 거대한 건 뭔데?,You called that a cat?! Look at the size of it!
3,TRUE,정확히는 고양잇과라고 했어. 고양이가 아니라.,"Yes, it's a cat. Just... a big cat."
3,TRUE,저건 치타야! 고양이가 아니라!,"That’s a cheetah, not a cat!"
3,TRUE,저 치타… 왠지 웃고 있는 것 같지 않아?,That cheetah... doesn't it look like it's smiling?
3,FALSE,나는 그저 골골송을 들으러 온 것 뿐인데…,
3,FALSE,그래도 야옹 소리를 들었으니… 여한은 없다.,
3,FALSE,네 녀석은 이 좋은 걸 혼자 독점하고 있었던 거냐…!,
3,FALSE,"저 녀석, 너무 귀여워…!",
3,FALSE,말이 안 되는 속도인데..?,
3,FALSE,죽어라 전 익!,
3,FALSE,저 치타는 우리 것이다! …고양이는 아니지만!,
